edge_from,edge_to,weight
62148650,118988714,1266
90727058,84409463,1264
68047077,90727058,1263
147953040,103482838,1262
11622463,52395412,1261
144091109,73484101,1261
925225069,925225069,1260
9954729,103482838,1260
138959710,58069681,1260
185008460,177430994,1258
2493627025,2493627025,1256
51360982,897311980,1256
897311980,184954342,1254
69518169,169411308,1254
101949793,10936095,1253
183492911,199944782,1253
199944782,196139623,1252
179157397,103321696,1249
179157397,140556538,1248
201849197,203348814,1248
4502562,81616010,1247
142627899,8351582,1247
43295729,199944782,1247
50372074,193920097,1247
115004586,196647941,1247
1032290579,5743915,1246
145894672,90422530,1246
156904493,199944782,1245
975621743,975621743,1243
110206669,154637859,1243
68913162,68913162,1243
168680287,147316732,1241
106296714,90727058,1240
89324355,90727058,1240
204851967,204851967,1238
10169007,414566,1236
128556326,72366220,1236
57293258,9954729,1236
205010575,103482838,1235
115173108,25538012,1235
168680287,42167783,1234
414566,137436721,1233
175310385,196647941,1232
207741693,207741693,1232
157921468,157921468,1231
18436875,18436875,1230
179157397,10169007,1229
10169007,199944782,1228
51360982,133363738,1226
103321696,13144211,1224
165512578,148709879,1222
129640837,42080949,1221
171741597,191798613,1220
147897268,123019304,1220
82675988,82675988,1217
25538012,115304631,1211
165318533,125775545,1211
101766102,90727058,1210
205498627,62238642,1209
102439543,203348814,1209
32326811,157670870,1206
64621741,167262187,1206
161492159,4502562,1206
105424869,105424869,1205
196139623,139930977,1203
110346167,1032290579,1203
199944782,157670870,1203
129839026,11622463,1203
52395412,91767247,1202
49967189,63392143,1202
50368787,59933527,1202
110346167,110346167,1201
147897268,199944782,1201
204030396,129573059,1200
140556538,199944782,1199
62238642,196647941,1197
201849197,201849197,1197
2181302,2181302,1195
62275304,62275304,1195
185367456,185367456,1194
81616010,18902827,1193
73484101,144620930,1192
42080949,168680287,1192
148561398,174847851,1192
186126824,193368155,1191
171741597,118992489,1188
179816892,103225281,1187
91852382,4502562,1187
8351582,6725529,1186
101949793,69141925,1185
